"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"27","","","A1","C","","00:14:33:09","00:14:39:06","01:14:02:21","01:14:08:16","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"28","","","V1","C","","00:14:39:06","00:15:36:10","01:14:08:16","01:15:05:23","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"29","","","A1","C","","00:14:39:06","00:15:36:10","01:14:08:16","01:15:05:23","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"30","","","V1","C","","00:15:36:10","00:18:40:02","01:15:05:23","01:18:09:08","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"31","","","A1","C","","00:15:36:10","00:18:40:02","01:15:05:23","01:18:09:08","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"32","","","V1","C","","00:18:40:02","00:45:10:09","01:18:09:08","01:44:39:22","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","1280x720","","","",""
"33","","","A1","C","","00:18:40:02","00:45:10:09","01:18:09:08","01:44:39:22","Productivity Hacks and Team Performance Boosts","","00:00:00:00","00:58:38:00","00:58:38:00","H.264 Baseline L3.0","24.000","","","","",""
"34","","","V2","C","0","00:00:00:00","00:00:00:00","01:19:09:49","01:19:35:33","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 9","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"35","","","V2","C","0","00:00:00:00","00:00:00:00","01:19:35:33","01:21:27:16","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 10","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"36","","","V2","C","0","00:00:00:00","00:00:00:00","01:21:27:16","01:25:34:32","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 11","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"37","","","V2","C","0","00:00:00:00","00:00:00:00","01:25:34:32","01:28:23:27","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 12","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"38","","","V2","C","0","00:00:00:00","00:00:00:00","01:28:23:27","01:31:48:03","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 13","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"39","","","V2","C","0","00:00:00:00","00:00:00:00","01:31:48:03","01:34:48:23","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 14","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"40","","","V2","C","0","00:00:00:00","00:00:00:00","01:34:48:23","01:35:33:08","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 15","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"41","","","V2","C","0","00:00:00:00","00:00:00:00","01:35:33:08","01:36:39:17","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 16","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"42","","","V2","C","0","00:00:00:00","00:00:00:00","01:36:39:17","01:38:37:37","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 17","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
"43","","","V2","C","0","00:00:00:00","00:00:00:00","01:38:37:37","01:38:44:00","20200515 Mark Cheret x rethink.community - Productivity Hacks and Team Performance Boosts - 18","","00:00:00:00","00:00:00:01","00:00:00:01","PNG","50.000","960x540","","","",""
"M2","","","","","0.0","00:00:00:00","","","","","","","","","","","","","","",""
